index,title,author,rating,price
0,Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,$15.60
1,Educated: A Memoir,Tara Westover,4.7 out of 5 stars,$15.18
2,Unfreedom of the Press,Mark R. Levin,5.0 out of 5 stars,$16.80
3,"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading, and Phonics (School Zone Big Workbook Series)",School Zone,4.8 out of 5 stars,$6.69
4,"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life",Louise Aronson,4.0 out of 5 stars,$18.00
5,City of Girls: A Novel,Elizabeth Gilbert,3.9 out of 5 stars,$16.80
6,Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,$16.80
7,"Oh, the Places You'll Go!",Dr. Seuss,4.8 out of 5 stars,$10.99
8,The Choice: Embrace the Possible,Dr. Edith Eva Eger,4.9 out of 5 stars,$7.56
9,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4 out of 5 stars,$14.99
10,National Geographic The Photo Ark: One Man's Quest to Document the World's Animals,Joel Sartore,4.9 out of 5 stars,$23.79
11,Becoming,Michelle Obama,4.9 out of 5 stars,$19.50
12,"Summer Bridge Activities - Grades 3 - 4, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards and Stickers",Summer Bridge Activities,4.6 out of 5 stars,$9.99
13,"How to Read Literature Like a Professor: A Lively and Entertaining Guide to Reading Between the Lines, Revised Edition",Thomas C Foster,4.3 out of 5 stars,$11.63
14,"Songs of America: Patriotism, Protest, and the Music That Made a Nation",Jon Meacham,4.1 out of 5 stars,$17.99
15,"Summer Bridge Activities - Grades K - 1, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards and Stickers",Summer Bridge Activities,4.7 out of 5 stars,$8.99
16,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,$9.59
17,Summer of '69,Elin Hilderbrand, ,$16.83
18,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",Rachel Hollis,4.6 out of 5 stars,$13.63
19,The Very Hungry Caterpillar,Eric Carle,4.5 out of 5 stars,$5.60
20,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4.7 out of 5 stars,$11.48
21,Little Fires Everywhere: A Novel,Celeste Ng,4.3 out of 5 stars,$9.86
22,"Summer Bridge Activities - Grades 2 - 3, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards and Stickers",Summer Bridge Activities,4.7 out of 5 stars,$10.00
23,Fahrenheit 451,Ray Bradbury,4.4 out of 5 stars,$8.27
24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.6 out of 5 stars,$6.24
25,The Mueller Report,The Washington Post,4.2 out of 5 stars,$9.83
26,The Alchemist,Paulo Coelho,4.6 out of 5 stars,$10.46
27,The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough,4.1 out of 5 stars,$17.99
28,"Summer Bridge Activities - Grades 1 - 2, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards and Stickers",Summer Bridge Activities,4.7 out of 5 stars,$10.00
29,To Kill a Mockingbird,Harper Lee,4.7 out of 5 stars,$7.19
30,"Summer Bridge Activities - Grades 4 - 5, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards and Stickers",Summer Bridge Activities,4.7 out of 5 stars,$10.00
31,Howard Stern Comes Again,Howard Stern,3.4 out of 5 stars,$20.99
32,The Wonderful Things You Will Be,Emily Winfield Martin,4.8 out of 5 stars,$10.79
33,"Summer Bridge Activities - Grades 5 - 6, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards",Summer Bridge Activities,4.5 out of 5 stars,$10.00
34,Stay Sexy & Don't Get Murdered: The Definitive How-To Guide,Karen Kilgariff,4.8 out of 5 stars,$14.99
35,Wacky Waving Inflatable Tube Guy (Miniature Editions),Conor Riordan,3.6 out of 5 stars,$8.15
36,"Kindergarten, Here I Come!",D.J. Steinberg,4.6 out of 5 stars,$2.77
37,The Hidden Power of F*cking Up,The Try Guys,5.0 out of 5 stars,$16.00
38,"I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works",Ramit Sethi,4.7 out of 5 stars,$9.57
39,Medical Medium Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide,Anthony William,4.8 out of 5 stars,$12.03
40,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.6 out of 5 stars,$8.97
41,"Summer Bridge Activities - Grades 6 - 7, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards",Summer Bridge Activities,4.5 out of 5 stars,$10.00
42,Lord of the Flies,William Golding,4.3 out of 5 stars,$7.61
43,1984 (Signet Classics),George Orwell,4.5 out of 5 stars,$7.79
44,The Wonky Donkey,Craig Smith,4.7 out of 5 stars,$4.99
45,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,$10.80
46,Official SAT Study Guide 2020 Edition,The College Board,4.3 out of 5 stars,$19.36
47,Goodnight Moon,Margaret Wise Brown,4.7 out of 5 stars,$6.53
48,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.7 out of 5 stars,$10.02
49,Summer Brain Quest: Between Grades 2 & 3,Workman Publishing,4.7 out of 5 stars,$10.00
50,"School Zone - Big Kindergarten Workbook - Ages 5 to 6, Early Reading and Writing, Numbers 0-20, Matching, Story Order, and More (School Zone Big Workbook Series)",Barbara Gregorich,4.7 out of 5 stars,$7.79
51,Born a Crime: Stories from a South African Childhood,Trevor Noah,4.8 out of 5 stars,$8.99
52,You Are a Badass®: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.6 out of 5 stars,$8.91
53,What to Expect When You're Expecting,Heidi Murkoff,4.4 out of 5 stars,$11.97
54,Giraffes Can't Dance,Giles Andreae,4.6 out of 5 stars,$5.00
55,Rand McNally 2020 Large Scale Road Atlas,Rand McNally,4.5 out of 5 stars,$13.36
56,Just Me and My Dad (Little Critter),Mercer Mayer,4.8 out of 5 stars,$3.03
